final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -1.53548, 125.474, 2.4011, 0.0964
1, -1.53898, 123.62, 2.39686, 0.09672
1, -1.54252, 121.763, 2.39254, 0.09704
1, -1.54606, 119.895, 2.38765, 0.09735
1, -1.54958, 118.015, 2.38317, 0.09767
1, -1.55308, 116.121, 2.3823, 0.09805
1, -1.55658, 114.218, 2.37673, 0.09835
1, -1.56004, 112.299, 2.36901, 0.09856
1, -1.56348, 110.367, 2.36125, 0.09877
1, -1.56694, 108.429, 2.35398, 0.09902
1, -1.57044, 106.487, 2.34779, 0.09931
1, -1.57396, 104.538, 2.34331, 0.09964
1, -1.57748, 102.578, 2.33928, 0.09998
1, -1.581, 100.609, 2.33462, 0.10031
1, -1.58452, 98.6304, 2.32893, 0.10062
1, -1.58804, 96.6415, 2.3211, 0.10086
1, -1.59152, 94.6376, 2.31296, 0.10107
1, -1.59502, 92.6265, 2.30478, 0.10128
1, -1.59856, 90.6107, 2.297, 0.10153
1, -1.6021, 88.5849, 2.28879, 0.10175
1, -1.60558, 86.5419, 2.28055, 0.10197
1, -1.6091, 84.4937, 2.27263, 0.10222
1, -1.6126, 82.4333, 2.26426, 0.10242
1, -1.61614, 80.3677, 2.25598, 0.1026
1, -1.6196, 78.2838, 2.24767, 0.10278
1, -1.62312, 76.1961, 2.24104, 0.10289
1, -1.62666, 74.1007, 2.23343, 0.10303
1, -1.6302, 71.9953, 2.22609, 0.10316
1, -1.63374, 69.8799, 2.2182, 0.10331
1, -1.63726, 67.7524, 2.2097, 0.1035
1, -1.6408, 65.617, 2.20111, 0.10371
1, -1.6443, 63.4679, 2.19256, 0.1039
1, -1.6478, 61.3089, 2.18393, 0.10412
1, -1.65132, 59.1419, 2.17554, 0.10429
1, -1.65486, 56.9666, 2.16751, 0.10444
1, -1.6584, 54.7814, 2.15877, 0.10465
1, -1.66186, 52.5805, 2.1507, 0.1048
1, -1.66538, 50.3738, 2.14288, 0.10494
1, -1.66888, 48.1558, 2.13413, 0.10513
1, -1.67238, 45.9281, 2.1253, 0.10533
1, -1.67592, 43.6932, 2.1171, 0.1056
1, -1.67944, 41.4469, 2.10884, 0.10587
1, -1.68296, 39.1907, 2.10031, 0.10613
1, -1.68648, 36.9246, 2.09173, 0.10639
1, -1.69, 34.6486, 2.08271, 0.10662
1, -1.6935, 32.3617, 2.07371, 0.10681
1, -1.69702, 30.066, 2.0646, 0.10701
1, -1.70048, 27.7581, 2.05547, 0.10721
1, -1.70396, 25.4412, 2.04685, 0.10737
1, -1.70742, 23.1142, 2.03942, 0.10749
1, -1.71088, 20.7776, 2.03077, 0.10765
1, -1.71436, 18.4318, 2.02149, 0.10786
1, -1.71782, 16.0759, 2.01255, 0.10812
1, -1.7213, 13.7108, 2.00398, 0.1084
1, -1.7248, 11.3362, 1.99511, 0.10867
1, -1.7283, 8.95188, 1.98619, 0.10894
1, -1.7318, 6.55774, 1.97744, 0.10922
1, -1.73532, 4.15412, 1.96807, 0.10947
1, -1.73884, 1.74058, 1.95855, 0.10971
