t, rx, ry, rz
2.7046263, 1.3769873, 0.19901043, 0
2.7073638, 1.3746535, 0.21344945, 0
2.7101013, 1.3721683, 0.22786661, 0
2.7128388, 1.3695322, 0.2422603, 0
2.7155762, 1.3667451, 0.25662895, 0
2.7183137, 1.3638075, 0.27097096, 0
2.7210512, 1.3607195, 0.28528474, 0
2.7237887, 1.3574814, 0.2995687, 0
2.7265261, 1.3540935, 0.31382125, 0
2.7292636, 1.3505562, 0.32804081, 0
2.7320011, 1.3468696, 0.3422258, 0
2.7347386, 1.3430343, 0.35637464, 0
2.737476, 1.3390504, 0.37048576, 0
2.7402135, 1.3349185, 0.38455757, 0
2.742951, 1.3306388, 0.39858852, 0
2.7456885, 1.3262119, 0.41257703, 0
2.748426, 1.321638, 0.42652155, 0
2.7511634, 1.3169177, 0.44042051, 0
2.7539009, 1.3120515, 0.45427235, 0
2.7566384, 1.3070397, 0.46807554, 0
2.7593759, 1.3018829, 0.48182852, 0
2.7621133, 1.2965817, 0.49552975, 0
2.7648508, 1.2911364, 0.50917769, 0
2.7675883, 1.2855477, 0.52277082, 0
2.7703258, 1.2798162, 0.5363076, 0
2.7730632, 1.2739423, 0.54978652, 0
2.7758007, 1.2679268, 0.56320606, 0
2.7785382, 1.2617701, 0.57656471, 0
2.7812757, 1.255473, 0.58986096, 0
2.7840131, 1.2490361, 0.60309333, 0
2.7867506, 1.24246, 0.61626031, 0
2.7894881, 1.2357454, 0.62936043, 0
2.7922256, 1.2288931, 0.64239221, 0
2.794963, 1.2219036, 0.65535417, 0
2.7977005, 1.2147778, 0.66824486, 0
2.800438, 1.2075165, 0.68106282, 0
2.8031755, 1.2001202, 0.69380659, 0
2.8059129, 1.1925899, 0.70647475, 0
2.8086504, 1.1849263, 0.71906585, 0
2.8113879, 1.1771302, 0.73157848, 0
2.8141254, 1.1692025, 0.74401121, 0
2.8168629, 1.161144, 0.75636265, 0
2.8196003, 1.1529555, 0.76863139, 0
2.8223378, 1.1446379, 0.78081604, 0
2.8250753, 1.1361921, 0.79291523, 0
2.8278128, 1.1276191, 0.80492758, 0
2.8305502, 1.1189196, 0.81685174, 0
2.8332877, 1.1100947, 0.82868635, 0
2.8360252, 1.1011453, 0.84043006, 0
2.8387627, 1.0920724, 0.85208156, 0
2.8415001, 1.0828769, 0.86363951, 0
2.8442376, 1.0735598, 0.87510262, 0
2.8469751, 1.0641222, 0.88646957, 0
2.8497126, 1.054565, 0.89773909, 0
2.85245, 1.0448894, 0.90890988, 0
2.8551875, 1.0350963, 0.9199807, 0
2.857925, 1.0251868, 0.93095028, 0
2.8606625, 1.015162, 0.94181738, 0
2.8633999, 1.005023, 0.95258077, 0
2.8661374, 0.99477086, 0.96323922, 0
2.8688749, 0.98440678, 0.97379155, 0
2.8716124, 0.97393185, 0.98423654, 0
2.8743498, 0.96334723, 0.99457301, 0
2.8770873, 0.95265407, 1.0047998, 0
2.8798248, 0.94185355, 1.0149158, 0
2.8825623, 0.93094687, 1.0249197, 0
2.8852998, 0.91993521, 1.0348106, 0
2.8880372, 0.9088198, 1.0445872, 0
2.8907747, 0.89760186, 1.0542485, 0
2.8935122, 0.88628263, 1.0637934, 0
2.8962497, 0.87486336, 1.0732208, 0
2.8989871, 0.86334532, 1.0825296, 0
2.9017246, 0.85172977, 1.0917188, 0
2.9044621, 0.84001802, 1.1007874, 0
2.9071996, 0.82821135, 1.1097344, 0
2.909937, 0.81631107, 1.1185586, 0
2.9126745, 0.80431852, 1.1272592, 0
2.915412, 0.79223501, 1.1358352, 0
2.9181495, 0.7800619, 1.1442856, 0
